20 20 20
(40/10,89/10)
(57/10,18/10)
(28/10,63/10)
(30/10,81/10)
(33/10,68/10)
(1/10,67/10)
(41/10,92/10)
(77/10,86/10)
(55/10,58/10)
(70/10,99/10)
(66/10,97/10)
(86/10,37/10)
(48/10,29/10)
(27/10,14/10)
(62/10,4/10)
(69/10,3/10)
(45/10,26/10)
(21/10,73/10)
(41/10,3/10)
(7/10,74/10)
(23/10,60/10)
(93/10,64/10)
(52/10,23/10)
(2/10,59/10)
(33/10,25/10)
(11/10,0/10)
(22/10,97/10)
(89/10,70/10)
(79/10,69/10)
(36/10,41/10)
(25/10,57/10)
(44/10,71/10)
(83/10,17/10)
(96/10,76/10)
(21/10,3/10)
(2/10,44/10)
(63/10,48/10)
(61/10,68/10)
(71/10,63/10)
(27/10,4/10)
(88/10,38/10)
(56/10,62/10)
(88/10,98/10)
(84/10,67/10)
(67/10,21/10)
(8/10,92/10)
(78/10,5/10)
(15/10,14/10)
(22/10,64/10)
(42/10,95/10)
(67/10,45/10)
(92/10,83/10)
(45/10,53/10)
(51/10,16/10)
(68/10,30/10)
(72/10,9/10)
(21/10,81/10)
(71/10,9/10)
(79/10,56/10)
(76/10,98/10)
