20 20 20
(32/10,80/10)
(10/10,35/10)
(28/10,71/10)
(4/10,99/10)
(30/10,16/10)
(92/10,75/10)
(42/10,17/10)
(86/10,60/10)
(78/10,77/10)
(28/10,42/10)
(67/10,56/10)
(54/10,73/10)
(56/10,33/10)
(18/10,18/10)
(61/10,5/10)
(72/10,93/10)
(86/10,34/10)
(80/10,66/10)
(57/10,84/10)
(65/10,88/10)
(53/10,9/10)
(63/10,95/10)
(78/10,49/10)
(55/10,56/10)
(78/10,36/10)
(50/10,45/10)
(92/10,4/10)
(70/10,0/10)
(38/10,88/10)
(70/10,99/10)
(93/10,94/10)
(92/10,31/10)
(28/10,72/10)
(97/10,37/10)
(9/10,14/10)
(77/10,14/10)
(75/10,92/10)
(9/10,53/10)
(41/10,17/10)
(61/10,71/10)
(53/10,12/10)
(16/10,97/10)
(16/10,38/10)
(97/10,6/10)
(26/10,67/10)
(5/10,72/10)
(13/10,49/10)
(55/10,41/10)
(74/10,53/10)
(30/10,35/10)
(19/10,8/10)
(49/10,47/10)
(0/10,10/10)
(52/10,94/10)
(27/10,14/10)
(65/10,32/10)
(78/10,34/10)
(29/10,94/10)
(72/10,78/10)
(53/10,51/10)
