20 20 20
(31/10,26/10)
(66/10,55/10)
(65/10,3/10)
(32/10,5/10)
(13/10,89/10)
(69/10,89/10)
(24/10,59/10)
(15/10,56/10)
(15/10,84/10)
(2/10,2/10)
(91/10,88/10)
(38/10,42/10)
(60/10,7/10)
(38/10,70/10)
(74/10,99/10)
(43/10,5/10)
(25/10,62/10)
(60/10,42/10)
(65/10,45/10)
(0/10,78/10)
(86/10,69/10)
(20/10,11/10)
(80/10,35/10)
(19/10,47/10)
(19/10,21/10)
(49/10,10/10)
(61/10,39/10)
(52/10,22/10)
(98/10,43/10)
(44/10,72/10)
(42/10,39/10)
(29/10,67/10)
(1/10,42/10)
(62/10,66/10)
(87/10,62/10)
(97/10,25/10)
(83/10,17/10)
(88/10,15/10)
(4/10,7/10)
(63/10,75/10)
(80/10,64/10)
(37/10,42/10)
(4/10,90/10)
(64/10,2/10)
(85/10,60/10)
(27/10,27/10)
(99/10,56/10)
(46/10,1/10)
(98/10,8/10)
(19/10,37/10)
(22/10,68/10)
(63/10,57/10)
(85/10,3/10)
(73/10,41/10)
(11/10,88/10)
(16/10,91/10)
(52/10,54/10)
(33/10,8/10)
(96/10,49/10)
(63/10,81/10)
