50 50 50
(80/10,5/10)
(71/10,32/10)
(70/10,46/10)
(46/10,19/10)
(19/10,25/10)
(99/10,40/10)
(43/10,82/10)
(60/10,14/10)
(15/10,35/10)
(60/10,77/10)
(19/10,98/10)
(21/10,85/10)
(47/10,79/10)
(91/10,38/10)
(49/10,49/10)
(52/10,29/10)
(54/10,75/10)
(13/10,76/10)
(21/10,59/10)
(47/10,93/10)
(37/10,98/10)
(33/10,32/10)
(80/10,94/10)
(46/10,48/10)
(81/10,6/10)
(25/10,0/10)
(56/10,46/10)
(37/10,3/10)
(77/10,81/10)
(94/10,27/10)
(30/10,46/10)
(8/10,37/10)
(73/10,22/10)
(65/10,94/10)
(33/10,65/10)
(87/10,70/10)
(63/10,73/10)
(2/10,96/10)
(19/10,0/10)
(44/10,0/10)
(59/10,21/10)
(1/10,15/10)
(19/10,90/10)
(71/10,96/10)
(71/10,65/10)
(23/10,54/10)
(63/10,32/10)
(91/10,36/10)
(6/10,56/10)
(30/10,91/10)
(21/10,18/10)
(62/10,37/10)
(43/10,16/10)
(33/10,62/10)
(69/10,77/10)
(62/10,28/10)
(50/10,15/10)
(43/10,69/10)
(6/10,14/10)
(65/10,29/10)
(31/10,41/10)
(83/10,94/10)
(25/10,74/10)
(30/10,31/10)
(83/10,13/10)
(22/10,56/10)
(31/10,36/10)
(93/10,26/10)
(5/10,78/10)
(88/10,74/10)
(7/10,50/10)
(54/10,57/10)
(18/10,97/10)
(26/10,24/10)
(64/10,44/10)
(5/10,95/10)
(85/10,89/10)
(90/10,10/10)
(15/10,72/10)
(93/10,98/10)
(85/10,67/10)
(7/10,68/10)
(56/10,52/10)
(94/10,61/10)
(31/10,82/10)
(87/10,38/10)
(85/10,41/10)
(48/10,3/10)
(90/10,74/10)
(79/10,54/10)
(18/10,84/10)
(2/10,3/10)
(25/10,44/10)
(65/10,41/10)
(16/10,58/10)
(91/10,54/10)
(26/10,50/10)
(22/10,82/10)
(3/10,17/10)
(95/10,86/10)
(51/10,82/10)
(24/10,36/10)
(75/10,24/10)
(91/10,65/10)
(99/10,22/10)
(72/10,69/10)
(59/10,26/10)
(25/10,84/10)
(70/10,90/10)
(77/10,86/10)
(49/10,69/10)
(40/10,27/10)
(19/10,15/10)
(9/10,74/10)
(84/10,56/10)
(60/10,35/10)
(38/10,37/10)
(24/10,65/10)
(61/10,67/10)
(82/10,12/10)
(90/10,6/10)
(82/10,49/10)
(32/10,59/10)
(33/10,2/10)
(49/10,63/10)
(41/10,50/10)
(32/10,33/10)
(77/10,3/10)
(48/10,38/10)
(30/10,32/10)
(94/10,90/10)
(20/10,84/10)
(79/10,44/10)
(49/10,41/10)
(11/10,32/10)
(5/10,53/10)
(90/10,39/10)
(2/10,23/10)
(98/10,88/10)
(25/10,48/10)
(51/10,18/10)
(50/10,35/10)
(52/10,28/10)
(90/10,0/10)
(18/10,20/10)
(85/10,13/10)
(11/10,5/10)
(97/10,90/10)
(49/10,99/10)
(83/10,12/10)
