50 50 50
(72/10,99/10)
(59/10,96/10)
(15/10,6/10)
(3/10,16/10)
(96/10,50/10)
(59/10,95/10)
(89/10,67/10)
(32/10,54/10)
(40/10,11/10)
(53/10,11/10)
(63/10,56/10)
(61/10,22/10)
(31/10,31/10)
(6/10,37/10)
(38/10,84/10)
(26/10,62/10)
(83/10,37/10)
(10/10,98/10)
(96/10,13/10)
(67/10,92/10)
(15/10,26/10)
(40/10,5/10)
(93/10,72/10)
(11/10,86/10)
(35/10,64/10)
(97/10,99/10)
(73/10,58/10)
(73/10,4/10)
(41/10,31/10)
(93/10,80/10)
(15/10,19/10)
(42/10,98/10)
(8/10,5/10)
(49/10,4/10)
(18/10,68/10)
(49/10,86/10)
(94/10,89/10)
(43/10,39/10)
(13/10,54/10)
(25/10,0/10)
(71/10,74/10)
(99/10,44/10)
(84/10,25/10)
(0/10,26/10)
(56/10,93/10)
(6/10,72/10)
(64/10,0/10)
(22/10,72/10)
(5/10,23/10)
(77/10,76/10)
(91/10,78/10)
(62/10,37/10)
(19/10,57/10)
(77/10,32/10)
(11/10,54/10)
(32/10,82/10)
(29/10,84/10)
(78/10,13/10)
(9/10,78/10)
(39/10,17/10)
(71/10,97/10)
(89/10,35/10)
(98/10,64/10)
(60/10,55/10)
(87/10,89/10)
(31/10,79/10)
(67/10,45/10)
(16/10,86/10)
(2/10,45/10)
(70/10,66/10)
(0/10,54/10)
(0/10,81/10)
(38/10,79/10)
(46/10,99/10)
(9/10,86/10)
(69/10,81/10)
(35/10,58/10)
(68/10,85/10)
(22/10,80/10)
(41/10,10/10)
(69/10,24/10)
(41/10,88/10)
(70/10,57/10)
(74/10,24/10)
(55/10,44/10)
(90/10,55/10)
(51/10,91/10)
(88/10,41/10)
(22/10,34/10)
(41/10,31/10)
(72/10,10/10)
(64/10,8/10)
(20/10,85/10)
(93/10,95/10)
(65/10,34/10)
(57/10,35/10)
(59/10,98/10)
(23/10,81/10)
(7/10,50/10)
(5/10,62/10)
(46/10,48/10)
(69/10,97/10)
(91/10,57/10)
(39/10,13/10)
(44/10,32/10)
(44/10,16/10)
(94/10,61/10)
(24/10,66/10)
(46/10,70/10)
(61/10,11/10)
(4/10,70/10)
(98/10,15/10)
(68/10,22/10)
(48/10,28/10)
(24/10,6/10)
(42/10,70/10)
(6/10,12/10)
(20/10,97/10)
(21/10,59/10)
(10/10,65/10)
(43/10,6/10)
(82/10,37/10)
(67/10,58/10)
(3/10,13/10)
(28/10,17/10)
(77/10,85/10)
(87/10,75/10)
(52/10,8/10)
(49/10,1/10)
(88/10,73/10)
(59/10,30/10)
(96/10,65/10)
(42/10,16/10)
(62/10,16/10)
(27/10,24/10)
(81/10,70/10)
(82/10,15/10)
(59/10,50/10)
(74/10,14/10)
(15/10,2/10)
(31/10,92/10)
(87/10,71/10)
(20/10,40/10)
(31/10,69/10)
(93/10,19/10)
(95/10,52/10)
(49/10,91/10)
(17/10,44/10)
(59/10,31/10)
(60/10,38/10)
