50 50 50
(19/10,3/10)
(51/10,39/10)
(97/10,2/10)
(8/10,4/10)
(63/10,78/10)
(82/10,39/10)
(24/10,55/10)
(8/10,30/10)
(81/10,20/10)
(49/10,15/10)
(4/10,63/10)
(13/10,7/10)
(10/10,53/10)
(23/10,2/10)
(37/10,72/10)
(52/10,57/10)
(27/10,55/10)
(48/10,25/10)
(57/10,8/10)
(81/10,72/10)
(87/10,15/10)
(12/10,11/10)
(71/10,72/10)
(42/10,4/10)
(93/10,91/10)
(20/10,49/10)
(6/10,33/10)
(56/10,16/10)
(87/10,31/10)
(71/10,76/10)
(55/10,23/10)
(85/10,83/10)
(31/10,33/10)
(60/10,40/10)
(42/10,41/10)
(13/10,81/10)
(56/10,77/10)
(92/10,79/10)
(1/10,86/10)
(84/10,94/10)
(29/10,4/10)
(96/10,36/10)
(89/10,4/10)
(4/10,76/10)
(36/10,75/10)
(5/10,91/10)
(51/10,90/10)
(26/10,82/10)
(24/10,86/10)
(22/10,18/10)
(79/10,87/10)
(99/10,88/10)
(64/10,43/10)
(67/10,66/10)
(82/10,51/10)
(12/10,11/10)
(7/10,60/10)
(99/10,97/10)
(65/10,4/10)
(25/10,1/10)
(31/10,30/10)
(92/10,82/10)
(73/10,19/10)
(16/10,49/10)
(57/10,39/10)
(67/10,37/10)
(26/10,18/10)
(25/10,43/10)
(61/10,92/10)
(61/10,95/10)
(96/10,25/10)
(7/10,55/10)
(86/10,6/10)
(52/10,51/10)
(62/10,78/10)
(4/10,94/10)
(60/10,48/10)
(28/10,33/10)
(19/10,45/10)
(34/10,77/10)
(84/10,1/10)
(14/10,62/10)
(71/10,91/10)
(57/10,85/10)
(35/10,18/10)
(80/10,83/10)
(44/10,39/10)
(39/10,82/10)
(98/10,91/10)
(33/10,60/10)
(21/10,89/10)
(6/10,34/10)
(37/10,35/10)
(19/10,57/10)
(32/10,54/10)
(34/10,68/10)
(7/10,0/10)
(30/10,79/10)
(43/10,88/10)
(16/10,78/10)
(58/10,96/10)
(62/10,54/10)
(88/10,53/10)
(36/10,86/10)
(44/10,21/10)
(46/10,18/10)
(10/10,5/10)
(52/10,48/10)
(92/10,71/10)
(5/10,24/10)
(77/10,91/10)
(92/10,85/10)
(91/10,74/10)
(16/10,34/10)
(62/10,32/10)
(64/10,73/10)
(80/10,78/10)
(27/10,68/10)
(31/10,64/10)
(6/10,76/10)
(85/10,5/10)
(46/10,48/10)
(10/10,98/10)
(96/10,2/10)
(21/10,53/10)
(78/10,99/10)
(44/10,70/10)
(36/10,87/10)
(96/10,4/10)
(73/10,59/10)
(36/10,37/10)
(32/10,68/10)
(16/10,11/10)
(89/10,99/10)
(75/10,95/10)
(75/10,13/10)
(0/10,73/10)
(61/10,62/10)
(71/10,9/10)
(64/10,45/10)
(62/10,94/10)
(96/10,58/10)
(16/10,32/10)
(97/10,13/10)
(36/10,70/10)
(24/10,24/10)
(59/10,8/10)
(44/10,27/10)
(19/10,85/10)
(27/10,95/10)
