100 100 100
(9/10,80/10)
(51/10,80/10)
(3/10,9/10)
(11/10,85/10)
(17/10,32/10)
(92/10,43/10)
(78/10,38/10)
(57/10,32/10)
(14/10,32/10)
(74/10,36/10)
(58/10,71/10)
(57/10,82/10)
(65/10,68/10)
(35/10,94/10)
(36/10,73/10)
(16/10,98/10)
(5/10,68/10)
(78/10,9/10)
(77/10,90/10)
(46/10,94/10)
(74/10,90/10)
(89/10,53/10)
(80/10,98/10)
(85/10,94/10)
(83/10,59/10)
(83/10,41/10)
(30/10,40/10)
(75/10,48/10)
(60/10,10/10)
(42/10,96/10)
(35/10,59/10)
(94/10,93/10)
(79/10,73/10)
(2/10,8/10)
(63/10,0/10)
(55/10,37/10)
(42/10,44/10)
(42/10,22/10)
(95/10,27/10)
(17/10,78/10)
(87/10,52/10)
(71/10,69/10)
(92/10,46/10)
(69/10,52/10)
(9/10,12/10)
(0/10,96/10)
(23/10,95/10)
(89/10,54/10)
(68/10,43/10)
(62/10,83/10)
(95/10,17/10)
(72/10,37/10)
(14/10,15/10)
(60/10,9/10)
(42/10,29/10)
(39/10,81/10)
(81/10,10/10)
(51/10,25/10)
(56/10,20/10)
(29/10,17/10)
(84/10,29/10)
(14/10,59/10)
(76/10,55/10)
(13/10,44/10)
(99/10,76/10)
(79/10,94/10)
(93/10,52/10)
(84/10,7/10)
(67/10,44/10)
(68/10,9/10)
(25/10,7/10)
(91/10,58/10)
(17/10,94/10)
(35/10,26/10)
(66/10,16/10)
(95/10,3/10)
(97/10,61/10)
(62/10,74/10)
(17/10,76/10)
(70/10,16/10)
(4/10,50/10)
(62/10,49/10)
(2/10,46/10)
(57/10,69/10)
(42/10,77/10)
(30/10,19/10)
(85/10,73/10)
(77/10,54/10)
(19/10,64/10)
(32/10,86/10)
(80/10,28/10)
(89/10,78/10)
(89/10,3/10)
(4/10,6/10)
(31/10,74/10)
(74/10,35/10)
(76/10,89/10)
(85/10,78/10)
(35/10,94/10)
(99/10,30/10)
(71/10,82/10)
(49/10,8/10)
(55/10,79/10)
(63/10,27/10)
(43/10,95/10)
(13/10,76/10)
(75/10,54/10)
(6/10,65/10)
(9/10,62/10)
(23/10,41/10)
(36/10,50/10)
(76/10,13/10)
(39/10,13/10)
(43/10,74/10)
(7/10,95/10)
(56/10,31/10)
(77/10,58/10)
(39/10,32/10)
(37/10,54/10)
(11/10,32/10)
(50/10,24/10)
(60/10,77/10)
(30/10,18/10)
(94/10,40/10)
(80/10,18/10)
(81/10,17/10)
(68/10,9/10)
(82/10,7/10)
(23/10,77/10)
(33/10,82/10)
(72/10,42/10)
(65/10,49/10)
(0/10,5/10)
(34/10,89/10)
(59/10,45/10)
(73/10,61/10)
(22/10,34/10)
(91/10,4/10)
(52/10,85/10)
(44/10,85/10)
(3/10,77/10)
(2/10,23/10)
(87/10,36/10)
(82/10,62/10)
(65/10,68/10)
(96/10,38/10)
(10/10,62/10)
(39/10,62/10)
(19/10,25/10)
(3/10,30/10)
(71/10,76/10)
(44/10,45/10)
(62/10,35/10)
(49/10,15/10)
(20/10,46/10)
(0/10,76/10)
(23/10,54/10)
(51/10,62/10)
(42/10,34/10)
(76/10,7/10)
(54/10,73/10)
(97/10,16/10)
(87/10,37/10)
(30/10,58/10)
(62/10,33/10)
(88/10,85/10)
(9/10,32/10)
(82/10,72/10)
(19/10,32/10)
(39/10,92/10)
(78/10,91/10)
(68/10,53/10)
(97/10,19/10)
(16/10,39/10)
(5/10,92/10)
(98/10,11/10)
(17/10,48/10)
(27/10,56/10)
(37/10,57/10)
(14/10,51/10)
(42/10,3/10)
(89/10,52/10)
(87/10,71/10)
(24/10,59/10)
(3/10,15/10)
(51/10,33/10)
(6/10,19/10)
(87/10,3/10)
(90/10,55/10)
(94/10,48/10)
(99/10,44/10)
(11/10,69/10)
(44/10,91/10)
(25/10,81/10)
(0/10,92/10)
(33/10,43/10)
(47/10,22/10)
(95/10,34/10)
(93/10,71/10)
(45/10,49/10)
(86/10,96/10)
(34/10,44/10)
(67/10,73/10)
(99/10,58/10)
(28/10,93/10)
(58/10,80/10)
(89/10,69/10)
(49/10,34/10)
(60/10,26/10)
(67/10,13/10)
(18/10,0/10)
(56/10,65/10)
(74/10,51/10)
(52/10,20/10)
(74/10,97/10)
(69/10,60/10)
(94/10,55/10)
(4/10,61/10)
(29/10,3/10)
(71/10,9/10)
(48/10,81/10)
(89/10,89/10)
(3/10,90/10)
(75/10,15/10)
(17/10,43/10)
(28/10,35/10)
(95/10,84/10)
(53/10,70/10)
(87/10,5/10)
(90/10,61/10)
(54/10,11/10)
(21/10,48/10)
(18/10,77/10)
(62/10,47/10)
(32/10,33/10)
(57/10,32/10)
(67/10,98/10)
(22/10,70/10)
(89/10,49/10)
